iter	Passed	Remaining
0	2	1287
1	4	1192
2	7	1204
3	9	1206
4	86	8589
5	101	8382
6	104	7394
7	110	6781
8	113	6213
9	117	5737
10	122	5423
11	125	5094
12	130	4887
13	139	4843
14	143	4646
15	147	4455
16	151	4302
17	155	4157
18	162	4117
19	167	4013
20	169	3876
21	172	3752
22	177	3677
23	182	3619
24	187	3558
25	192	3504
26	197	3462
27	203	3428
28	208	3379
29	215	3369
30	217	3297
31	220	3227
32	223	3157
33	225	3095
34	230	3057
35	233	3004
36	235	2951
37	238	2902
38	241	2855
39	244	2806
40	246	2759
41	248	2714
42	251	2675
43	254	2634
44	256	2594
45	259	2556
46	261	2517
47	263	2480
48	266	2449
49	270	2430
50	272	2403
51	275	2371
52	277	2342
53	279	2312
54	282	2282
55	284	2258
56	287	2231
57	289	2204
58	292	2182
59	294	2159
60	296	2136
61	299	2114
62	301	2092
63	304	2074
64	306	2052
65	309	2032
66	311	2012
67	314	1995
68	316	1978
69	319	1960
70	321	1943
71	324	1929
72	327	1917
73	330	1900
74	332	1884
75	334	1868
76	337	1851
77	339	1837
78	342	1823
79	344	1808
80	346	1793
81	348	1779
82	351	1764
83	353	1750
84	355	1737
85	358	1723
86	360	1711
87	362	1698
88	364	1685
89	367	1674
90	370	1664
91	372	1654
92	375	1642
93	377	1632
94	380	1620
95	382	1610
96	385	1600
97	387	1589
98	390	1580
99	392	1570
100	394	1560
101	397	1549
102	400	1542
103	403	1535
104	449	1689
105	494	1837
106	580	2131
107	823	2990
108	827	2970
109	832	2949
110	835	2929
111	863	2992
112	867	2971
113	982	3327
114	992	3321
115	1003	3321
116	1026	3361
117	1035	3353
118	1209	3871
119	1587	5025
120	1590	4982
121	1594	4939
122	1597	4897
123	1601	4856
124	1604	4814
125	1608	4774
126	1612	4735
127	1615	4695
128	1619	4657
129	1622	4619
130	1626	4581
131	1630	4545
132	1634	4509
133	1637	4473
134	1641	4437
135	1644	4402
136	1648	4367
137	1651	4333
138	1655	4299
139	1658	4265
140	1706	4346
141	1710	4312
142	1714	4279
143	1717	4246
144	1721	4214
145	1724	4182
146	1728	4150
147	1731	4119
148	1735	4088
149	1739	4058
150	1742	4028
151	1746	3998
152	1750	3969
153	1753	3940
154	1757	3911
155	1760	3882
156	1764	3854
157	1767	3826
158	1771	3799
159	1775	3771
160	1778	3745
161	1782	3718
162	1791	3703
163	1794	3677
164	1798	3650
165	1801	3624
166	1805	3599
167	1808	3574
168	1812	3549
169	1815	3524
170	1821	3504
171	1824	3479
172	1828	3456
173	1831	3432
174	1835	3409
175	1839	3385
176	1842	3362
177	1846	3340
178	1850	3317
179	1853	3295
180	1857	3273
181	1860	3251
182	1864	3229
183	1867	3207
184	1871	3186
185	1875	3165
186	1878	3144
187	1882	3123
188	1885	3103
189	1889	3082
190	1892	3062
191	1896	3042
192	1900	3022
193	1903	3002
194	1907	2983
195	1910	2963
196	1914	2944
197	1917	2925
198	1921	2905
199	1924	2886
200	1928	2868
201	1931	2850
202	1935	2831
203	1939	2813
204	1942	2795
205	1946	2777
206	1949	2759
207	1953	2742
208	1956	2724
209	1960	2707
210	1964	2690
211	1967	2673
212	1971	2656
213	1974	2639
214	1978	2622
215	1982	2606
216	1986	2590
217	1990	2574
218	1993	2558
219	1997	2542
220	2000	2525
221	2004	2510
222	2008	2494
223	2011	2478
224	2015	2463
225	2018	2447
226	2022	2432
227	2026	2417
228	2029	2402
229	2033	2386
230	2036	2372
231	2040	2356
232	2043	2342
233	2047	2327
234	2050	2312
235	2054	2298
236	2057	2283
237	2061	2269
238	2065	2255
239	2068	2240
240	2072	2226
241	2075	2212
242	2079	2199
243	2082	2185
244	2087	2172
245	2094	2162
246	2103	2154
247	2108	2142
248	2119	2136
249	2132	2132
250	2145	2128
251	2156	2122
252	2168	2117
253	2180	2111
254	2188	2102
255	2198	2095
256	2208	2088
257	2215	2078
258	2224	2070
259	2232	2060
260	2238	2050
261	2245	2040
262	2251	2028
263	2256	2017
264	2260	2004
265	2266	1994
266	2272	1983
267	2280	1973
