season,round,race_name,circuit_id,date,done
2026,1,Australian Grand Prix,albert_park,2026-03-08,True
2026,2,Chinese Grand Prix,shanghai,2026-03-15,True
2026,3,Japanese Grand Prix,suzuka,2026-03-29,True
2026,4,Miami Grand Prix,miami,2026-05-03,True
2026,5,Canadian Grand Prix,villeneuve,2026-05-24,True
2026,6,Monaco Grand Prix,monaco,2026-06-07,True
2026,7,Barcelona Grand Prix,catalunya,2026-06-14,True
2026,8,Austrian Grand Prix,red_bull_ring,2026-06-28,True
2026,9,British Grand Prix,silverstone,2026-07-05,True
2026,10,Belgian Grand Prix,spa,2026-07-19,True
2026,11,Hungarian Grand Prix,hungaroring,2026-07-26,True
2026,12,Dutch Grand Prix,zandvoort,2026-08-23,True
2026,13,Italian Grand Prix,monza,2026-09-06,True
2026,14,Spanish Grand Prix,madring,2026-09-13,True
2026,15,Azerbaijan Grand Prix,baku,2026-09-26,False
2026,16,Bahrain Grand Prix in Malaysia,sepang,2026-10-04,False
2026,17,Singapore Grand Prix,marina_bay,2026-10-11,False
2026,18,United States Grand Prix,americas,2026-10-25,False
2026,19,Mexico City Grand Prix,rodriguez,2026-11-01,False
2026,20,Brazilian Grand Prix,interlagos,2026-11-08,False
2026,21,Las Vegas Grand Prix,vegas,2026-11-22,False
2026,22,Qatar Grand Prix,losail,2026-11-29,False
2026,23,Abu Dhabi Grand Prix,yas_marina,2026-12-06,False
