season,round,race_name,circuit_id,date,driver_id,constructor_id,grid,position,position_text,points,laps,status
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,alonso,ferrari,3,1,1,25.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,massa,ferrari,2,2,2,18.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,hamilton,mclaren,4,3,3,15.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,vettel,red_bull,1,4,4,12.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,rosberg,mercedes,5,5,5,10.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,michael_schumacher,mercedes,7,6,6,8.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,button,mclaren,8,7,7,6.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,webber,red_bull,6,8,8,4.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,liuzzi,force_india,12,9,9,2.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,barrichello,williams,11,10,10,1.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,kubica,renault,9,11,11,0.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,sutil,force_india,10,12,12,0.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,alguersuari,toro_rosso,18,13,13,0.0,49,Finished
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,hulkenberg,williams,13,14,14,0.0,48,+1 Lap
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,kovalainen,lotus_racing,21,15,15,0.0,47,+2 Laps
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,buemi,toro_rosso,15,16,16,0.0,46,Electrical
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,trulli,lotus_racing,20,17,17,0.0,46,Hydraulics
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,rosa,sauber,14,18,R,0.0,28,Hydraulics
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,bruno_senna,hrt,23,19,R,0.0,17,Overheating
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,glock,virgin,19,20,R,0.0,16,Gearbox
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,petrov,renault,17,21,R,0.0,13,Suspension
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,kobayashi,sauber,16,22,R,0.0,11,Hydraulics
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,grassi,virgin,22,23,R,0.0,2,Hydraulics
2010,1,Bahrain Grand Prix,bahrain,2010-03-14,chandhok,hrt,24,24,R,0.0,1,Accident
2010,2,Australian Grand Prix,albert_park,2010-03-28,button,mclaren,4,1,1,25.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,kubica,renault,9,2,2,18.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,massa,ferrari,5,3,3,15.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,alonso,ferrari,3,4,4,12.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,rosberg,mercedes,6,5,5,10.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,hamilton,mclaren,11,6,6,8.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,liuzzi,force_india,13,7,7,6.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,barrichello,williams,8,8,8,4.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,webber,red_bull,2,9,9,2.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,michael_schumacher,mercedes,7,10,10,1.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,alguersuari,toro_rosso,17,11,11,0.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,rosa,sauber,14,12,12,0.0,58,Finished
2010,2,Australian Grand Prix,albert_park,2010-03-28,kovalainen,lotus_racing,19,13,13,0.0,56,+2 Laps
2010,2,Australian Grand Prix,albert_park,2010-03-28,chandhok,hrt,22,14,14,0.0,53,+5 Laps
2010,2,Australian Grand Prix,albert_park,2010-03-28,glock,virgin,23,15,R,0.0,41,Suspension
2010,2,Australian Grand Prix,albert_park,2010-03-28,grassi,virgin,24,16,R,0.0,26,Hydraulics
2010,2,Australian Grand Prix,albert_park,2010-03-28,vettel,red_bull,1,17,R,0.0,25,Wheel
2010,2,Australian Grand Prix,albert_park,2010-03-28,sutil,force_india,10,18,R,0.0,9,Engine
2010,2,Australian Grand Prix,albert_park,2010-03-28,petrov,renault,18,19,R,0.0,9,Spun off
2010,2,Australian Grand Prix,albert_park,2010-03-28,bruno_senna,hrt,21,20,R,0.0,4,Hydraulics
2010,2,Australian Grand Prix,albert_park,2010-03-28,buemi,toro_rosso,12,21,R,0.0,0,Collision
2010,2,Australian Grand Prix,albert_park,2010-03-28,hulkenberg,williams,15,22,R,0.0,0,Collision
2010,2,Australian Grand Prix,albert_park,2010-03-28,kobayashi,sauber,16,23,R,0.0,0,Collision
2010,2,Australian Grand Prix,albert_park,2010-03-28,trulli,lotus_racing,20,24,W,0.0,0,Hydraulics
2010,3,Malaysian Grand Prix,sepang,2010-04-04,vettel,red_bull,3,1,1,25.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,webber,red_bull,1,2,2,18.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,rosberg,mercedes,2,3,3,15.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,kubica,renault,6,4,4,12.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,sutil,force_india,4,5,5,10.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,hamilton,mclaren,20,6,6,8.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,massa,ferrari,21,7,7,6.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,button,mclaren,17,8,8,4.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,alguersuari,toro_rosso,14,9,9,2.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,hulkenberg,williams,5,10,10,1.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,buemi,toro_rosso,13,11,11,0.0,56,Finished
2010,3,Malaysian Grand Prix,sepang,2010-04-04,barrichello,williams,7,12,12,0.0,55,+1 Lap
2010,3,Malaysian Grand Prix,sepang,2010-04-04,alonso,ferrari,19,13,13,0.0,54,Engine
2010,3,Malaysian Grand Prix,sepang,2010-04-04,grassi,virgin,24,14,14,0.0,53,+3 Laps
2010,3,Malaysian Grand Prix,sepang,2010-04-04,chandhok,hrt,22,15,15,0.0,53,+3 Laps
2010,3,Malaysian Grand Prix,sepang,2010-04-04,bruno_senna,hrt,23,16,16,0.0,52,+4 Laps
2010,3,Malaysian Grand Prix,sepang,2010-04-04,trulli,lotus_racing,18,17,17,0.0,51,+5 Laps
2010,3,Malaysian Grand Prix,sepang,2010-04-04,kovalainen,lotus_racing,15,18,R,0.0,46,+10 Laps
2010,3,Malaysian Grand Prix,sepang,2010-04-04,petrov,renault,11,19,R,0.0,32,Gearbox
2010,3,Malaysian Grand Prix,sepang,2010-04-04,liuzzi,force_india,10,20,R,0.0,12,Throttle
2010,3,Malaysian Grand Prix,sepang,2010-04-04,michael_schumacher,mercedes,8,21,R,0.0,9,Wheel
2010,3,Malaysian Grand Prix,sepang,2010-04-04,kobayashi,sauber,9,22,R,0.0,8,Engine
2010,3,Malaysian Grand Prix,sepang,2010-04-04,glock,virgin,16,23,R,0.0,2,Spun off
2010,3,Malaysian Grand Prix,sepang,2010-04-04,rosa,sauber,12,24,W,0.0,0,Engine
2010,4,Chinese Grand Prix,shanghai,2010-04-18,button,mclaren,5,1,1,25.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,hamilton,mclaren,6,2,2,18.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,rosberg,mercedes,4,3,3,15.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,alonso,ferrari,3,4,4,12.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,kubica,renault,8,5,5,10.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,vettel,red_bull,1,6,6,8.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,petrov,renault,14,7,7,6.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,webber,red_bull,2,8,8,4.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,massa,ferrari,7,9,9,2.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,michael_schumacher,mercedes,9,10,10,1.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,sutil,force_india,10,11,11,0.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,barrichello,williams,11,12,12,0.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,alguersuari,toro_rosso,12,13,13,0.0,56,Finished
2010,4,Chinese Grand Prix,shanghai,2010-04-18,kovalainen,lotus_racing,21,14,14,0.0,55,+1 Lap
2010,4,Chinese Grand Prix,shanghai,2010-04-18,hulkenberg,williams,16,15,15,0.0,55,+1 Lap
2010,4,Chinese Grand Prix,shanghai,2010-04-18,bruno_senna,hrt,23,16,16,0.0,54,+2 Laps
2010,4,Chinese Grand Prix,shanghai,2010-04-18,chandhok,hrt,24,17,17,0.0,52,+4 Laps
2010,4,Chinese Grand Prix,shanghai,2010-04-18,trulli,lotus_racing,20,18,R,0.0,26,Hydraulics
2010,4,Chinese Grand Prix,shanghai,2010-04-18,grassi,virgin,22,19,R,0.0,8,Clutch
2010,4,Chinese Grand Prix,shanghai,2010-04-18,rosa,sauber,17,20,R,0.0,7,Technical
2010,4,Chinese Grand Prix,shanghai,2010-04-18,buemi,toro_rosso,13,21,R,0.0,0,Accident
2010,4,Chinese Grand Prix,shanghai,2010-04-18,kobayashi,sauber,15,22,R,0.0,0,Accident
2010,4,Chinese Grand Prix,shanghai,2010-04-18,liuzzi,force_india,18,23,R,0.0,0,Accident
2010,4,Chinese Grand Prix,shanghai,2010-04-18,glock,virgin,19,24,W,0.0,0,Engine
2010,5,Spanish Grand Prix,catalunya,2010-05-09,webber,red_bull,1,1,1,25.0,66,Finished
2010,5,Spanish Grand Prix,catalunya,2010-05-09,alonso,ferrari,4,2,2,18.0,66,Finished
2010,5,Spanish Grand Prix,catalunya,2010-05-09,vettel,red_bull,2,3,3,15.0,66,Finished
2010,5,Spanish Grand Prix,catalunya,2010-05-09,michael_schumacher,mercedes,6,4,4,12.0,66,Finished
2010,5,Spanish Grand Prix,catalunya,2010-05-09,button,mclaren,5,5,5,10.0,66,Finished
2010,5,Spanish Grand Prix,catalunya,2010-05-09,massa,ferrari,9,6,6,8.0,66,Finished
2010,5,Spanish Grand Prix,catalunya,2010-05-09,sutil,force_india,11,7,7,6.0,66,Finished
2010,5,Spanish Grand Prix,catalunya,2010-05-09,kubica,renault,7,8,8,4.0,66,Finished
2010,5,Spanish Grand Prix,catalunya,2010-05-09,barrichello,williams,17,9,9,2.0,65,+1 Lap
2010,5,Spanish Grand Prix,catalunya,2010-05-09,alguersuari,toro_rosso,15,10,10,1.0,65,+1 Lap
2010,5,Spanish Grand Prix,catalunya,2010-05-09,petrov,renault,19,11,11,0.0,65,+1 Lap
2010,5,Spanish Grand Prix,catalunya,2010-05-09,kobayashi,sauber,10,12,12,0.0,65,+1 Lap
2010,5,Spanish Grand Prix,catalunya,2010-05-09,rosberg,mercedes,8,13,13,0.0,65,+1 Lap
