season,round,race_name,circuit_id,date,driver_id,constructor_id,grid,position,position_text,points,laps,status,is_podium,team_unified,rolling_form,season_points,team_form,circuit_history,teammate_delta,dnf_rate,grid_gain,career_races
2020,16,Sakhir Grand Prix,bahrain,2020-12-06,aitken,williams,17,16,16,0.0,87,Finished,0,williams,11.333333333333334,0.0,14.666666666666666,10.2,0.15447154471544716,0.16666666666666666,-0.02631578947368421,0
2019,1,Australian Grand Prix,albert_park,2019-03-17,albon,toro_rosso,13,14,14,0.0,57,+1 Lap,0,rb,11.333333333333334,0.0,12.666666666666666,10.2,0.15447154471544716,0.16666666666666666,-0.02631578947368421,0
2019,2,Bahrain Grand Prix,bahrain,2019-03-31,albon,toro_rosso,12,9,9,2.0,57,Finished,0,rb,11.333333333333334,0.0,12.666666666666666,10.2,-4.0,0.0,-1.0,1
2019,3,Chinese Grand Prix,shanghai,2019-04-14,albon,toro_rosso,20,10,10,1.0,55,+1 Lap,0,rb,11.333333333333334,2.0,12.166666666666666,10.2,-0.5,0.0,1.0,2
2019,4,Azerbaijan Grand Prix,baku,2019-04-28,albon,toro_rosso,11,11,11,0.0,50,+1 Lap,0,rb,11.0,3.0,12.333333333333334,10.2,2.6666666666666665,0.0,4.0,3
2019,5,Spanish Grand Prix,catalunya,2019-05-12,albon,toro_rosso,11,11,11,0.0,66,Finished,0,rb,10.0,3.0,13.333333333333334,10.2,4.0,0.0,3.0,4
2019,6,Monaco Grand Prix,monaco,2019-05-26,albon,toro_rosso,10,8,8,4.0,78,Finished,0,rb,10.666666666666666,3.0,13.166666666666666,10.2,2.8,0.0,2.4,5
2019,7,Canadian Grand Prix,villeneuve,2019-06-09,albon,toro_rosso,13,19,R,0.0,59,Collision damage,0,rb,10.0,7.0,10.833333333333334,10.2,2.1666666666666665,0.0,2.3333333333333335,6
2019,8,French Grand Prix,ricard,2019-06-23,albon,toro_rosso,11,15,15,0.0,52,+1 Lap,0,rb,12.666666666666666,7.0,10.666666666666666,10.2,0.5714285714285714,0.14285714285714285,1.1428571428571428,7
2019,9,Austrian Grand Prix,red_bull_ring,2019-06-30,albon,toro_rosso,18,15,15,0.0,70,+1 Lap,0,rb,14.0,7.0,12.166666666666666,10.2,0.375,0.125,0.5,8
2019,10,British Grand Prix,silverstone,2019-07-14,albon,toro_rosso,9,12,12,0.0,52,Finished,0,rb,16.333333333333332,7.0,15.0,10.2,0.5555555555555556,0.1111111111111111,0.7777777777777778,9
2019,11,German Grand Prix,hockenheimring,2019-07-28,albon,toro_rosso,16,6,6,8.0,64,Finished,0,rb,14.0,7.0,13.666666666666666,10.2,0.2,0.1,0.4,10
2019,12,Hungarian Grand Prix,hungaroring,2019-08-04,albon,toro_rosso,12,10,10,1.0,69,+1 Lap,0,rb,11.0,15.0,10.333333333333334,10.2,-0.09090909090909091,0.09090909090909091,1.2727272727272727,11
2019,13,Belgian Grand Prix,spa,2019-09-01,albon,red_bull,17,5,5,10.0,44,Finished,0,red_bull,9.333333333333334,16.0,5.333333333333333,10.2,0.3333333333333333,0.08333333333333333,1.3333333333333333,12
2019,14,Italian Grand Prix,monza,2019-09-08,albon,red_bull,8,6,6,8.0,53,Finished,0,red_bull,7.0,26.0,8.0,10.2,1.4615384615384615,0.07692307692307693,2.1538461538461537,13
2019,15,Singapore Grand Prix,marina_bay,2019-09-22,albon,red_bull,6,6,6,8.0,61,Finished,0,red_bull,7.0,34.0,7.833333333333333,10.2,1.5,0.07142857142857142,2.142857142857143,14
2019,16,Russian Grand Prix,sochi,2019-09-29,albon,red_bull,20,5,5,10.0,53,Finished,0,red_bull,5.666666666666667,42.0,8.0,10.2,1.2,0.06666666666666667,2.0,15
2019,17,Japanese Grand Prix,suzuka,2019-10-13,albon,red_bull,6,4,4,12.0,52,Finished,0,red_bull,5.666666666666667,52.0,5.333333333333333,10.2,1.0625,0.0625,2.8125,16
2019,18,Mexican Grand Prix,rodriguez,2019-10-27,albon,red_bull,5,5,5,10.0,71,Finished,0,red_bull,5.0,64.0,6.666666666666667,10.2,1.8235294117647058,0.058823529411764705,2.764705882352941,17
2019,19,United States Grand Prix,americas,2019-11-03,albon,red_bull,6,5,5,10.0,56,Finished,0,red_bull,4.666666666666667,74.0,7.0,10.2,1.7777777777777777,0.05555555555555555,2.611111111111111,18
2019,20,Brazilian Grand Prix,interlagos,2019-11-17,albon,red_bull,5,14,14,0.0,71,Finished,0,red_bull,4.666666666666667,84.0,6.833333333333333,10.2,1.5789473684210527,0.05263157894736842,2.526315789473684,19
2019,21,Abu Dhabi Grand Prix,yas_marina,2019-12-01,albon,red_bull,5,6,6,8.0,55,Finished,0,red_bull,8.0,84.0,5.666666666666667,10.2,0.85,0.05,1.95,20
2020,1,Austrian Grand Prix,red_bull_ring,2020-07-05,albon,red_bull,4,13,13,0.0,67,Electronics,0,red_bull,8.333333333333334,0.0,5.166666666666667,15.0,0.6190476190476191,0.047619047619047616,1.8095238095238095,21
2020,2,Styrian Grand Prix,red_bull_ring,2020-07-12,albon,red_bull,6,4,4,12.0,71,Finished,0,red_bull,11.0,0.0,9.333333333333334,14.0,0.9090909090909091,0.09090909090909091,1.3181818181818181,22
2020,3,Hungarian Grand Prix,hungaroring,2020-07-19,albon,red_bull,13,5,5,10.0,70,Finished,0,red_bull,7.666666666666667,12.0,8.0,10.0,0.8260869565217391,0.08695652173913043,1.3478260869565217,23
2020,4,British Grand Prix,silverstone,2020-08-02,albon,red_bull,12,8,8,4.0,52,Finished,0,red_bull,7.333333333333333,22.0,7.833333333333333,12.0,0.6666666666666666,0.08333333333333333,1.625,24
2020,5,70th Anniversary Grand Prix,silverstone,2020-08-09,albon,red_bull,9,5,5,10.0,52,Finished,0,red_bull,5.666666666666667,26.0,4.0,10.0,0.4,0.08,1.72,25
2020,6,Spanish Grand Prix,catalunya,2020-08-16,albon,red_bull,6,8,8,4.0,65,+1 Lap,0,red_bull,6.0,36.0,3.8333333333333335,11.0,0.23076923076923078,0.07692307692307693,1.8076923076923077,26
2020,7,Belgian Grand Prix,spa,2020-08-30,albon,red_bull,5,6,6,8.0,44,Finished,0,red_bull,7.0,40.0,4.333333333333333,5.0,0.0,0.07407407407407407,1.6666666666666667,27
2020,8,Italian Grand Prix,monza,2020-09-06,albon,red_bull,9,15,15,0.0,53,Finished,0,red_bull,6.333333333333333,48.0,4.166666666666667,6.0,-0.10714285714285714,0.07142857142857142,1.5714285714285714,28
2020,9,Tuscan Grand Prix,mugello,2020-09-13,albon,red_bull,4,3,3,15.0,59,Finished,1,red_bull,9.666666666666666,48.0,8.5,10.2,-0.034482758620689655,0.06896551724137931,1.3103448275862069,29
